Height,Weight,Age,Sex,Hair Color,Eye Color,Blood Type,Health,Ethnicity,Muscle mass distribution
172,80,38,Female,Black,Black,A-,Hereditary Diseases Genetic,Afro-Brazilian,0.33
171,107,24,Male,Blond,Black,B+,Healthy,German,0.39
176,109,22,Male,Blond,Green,O-,physiological diseases,Norwegian,0.51
172,92,49,Male,Brown,Brown,O+,Healthy,Navajo,0.4
193,87,63,Female,Black,Green,O+,Deficiency Diseases,Tongan,0.4
167,95,90,Male,Blond,Blue,O-,Hereditary Diseases Genetic,Latino,0.56
185,99,32,Female,Blond,Brown,A+,Too Healthy,Roma,0.43
172,74,69,Female,Blond,Brown,AB+,Too Healthy,Māori,0.39
178,73,51,Male,Black,Blue,AB-,Healthy,Japanese,0.35
173,95,56,Female,Black,Brown,A-,Infectious Disease,Gujarati,0.35
187,94,19,Male,Black,Brown,AB-,physiological diseases,Sindhi,0.54
187,66,81,Female,Black,Green,AB-,Healthy,Afro-Colombian,0.32
176,106,35,Female,Black,Black,B+,physiological diseases,Vietnamese,0.48
186,88,35,Male,Blond,Brown,AB-,Healthy,Tamil,0.35
167,74,84,Female,White,Green,O+,physiological diseases,Greek,0.31
171,74,66,Female,Blond,Blue,O-,Hereditary Diseases Non-Genetic,Irish,0.55
179,97,63,Male,Brown,Blue,B-,physiological diseases,Punjabi,0.49
171,93,48,Female,Blond,Black,B-,Too Healthy,Cuban,0.43
188,74,56,Male,Black,Blue,AB-,Deficiency Diseases,Ashkenazi Jewish,0.32
167,84,22,Female,White,Brown,B+,Too Healthy,Sephardic Jewish,0.35
195,80,30,Male,Blond,Black,A-,Infectious Disease,Fijian,0.49
182,68,17,Female,Brown,Green,A-,physiological diseases,Sindhi,0.31
167,73,57,Female,Brown,Green,B+,Infectious Disease,Hutu,0.47
171,89,28,Male,Brown,Black,B-,Deficiency Diseases,Xhosa,0.53
176,68,76,Female,Brown,Brown,A+,O-,Inuit,0.48
191,95,55,Female,White,Brown,A-,Too Healthy,Sioux,0.53
185,76,72,Male,Blond,Blue,B+,O-,Igbo,0.49
170,65,76,Female,Black,Blue,O+,physiological diseases,Tongan,0.39
169,92,45,Male,Blond,Blue,O-,physiological diseases,Amhara,0.37
181,107,20,Male,Black,Blue,O+,physiological diseases,Tongan,0.5
171,69,26,Male,Black,Green,AB-,Infectious Disease,Korean,0.54
189,79,85,Female,Black,Brown,O+,Healthy,Italian,0.35
179,76,35,Male,Black,Black,O+,physiological diseases,Turkish,0.49
195,83,58,Male,Brown,Black,A+,Hereditary Diseases Genetic,Native American,0.52
191,87,86,Female,White,Blue,O+,Infectious Disease,Han Chinese,0.31
184,89,42,Female,Black,Blue,A+,Hereditary Diseases Non-Genetic,Japanese,0.45
